"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"SIGLEC5",3,"brown","ENSG00000105501.11","ENSG00000105501",NA
"SIGLEC6",0,"grey","ENSG00000105492.15","ENSG00000105492",946
"SIGLEC7",3,"brown","ENSG00000168995.13","ENSG00000168995",27036
"SIGLEC8",0,"grey","ENSG00000105366.15","ENSG00000105366",27181
"SIGLEC9",3,"brown","ENSG00000129450.8","ENSG00000129450",27180
"SIGMAR1",0,"grey","ENSG00000147955.16","ENSG00000147955",10280
"SIK1",0,"grey","ENSG00000142178.7","ENSG00000142178",150094
"SIK2",7,"black","ENSG00000170145.4","ENSG00000170145",23235
"SIK3",0,"grey","ENSG00000160584.15","ENSG00000160584",23387
"SIKE1",0,"grey","ENSG00000052723.11","ENSG00000052723",80143
"SIL1",0,"grey","ENSG00000120725.12","ENSG00000120725",64374
"SIM1",0,"grey","ENSG00000112246.9","ENSG00000112246",6492
"SIM2",0,"grey","ENSG00000159263.15","ENSG00000159263",6493
"SIMC1",0,"grey","ENSG00000170085.17","ENSG00000170085",375484
"SIN3A",17,"grey60","ENSG00000169375.15","ENSG00000169375",25942
"SIN3B",6,"red","ENSG00000127511.9","ENSG00000127511",23309
"SIPA1",0,"grey","ENSG00000213445.8","ENSG00000213445",6494
"SIPA1L1",0,"grey","ENSG00000197555.9","ENSG00000197555",26037
"SIPA1L2",0,"grey","ENSG00000116991.10","ENSG00000116991",57568
"SIPA1L3",0,"grey","ENSG00000105738.10","ENSG00000105738",23094
"SIRPA",0,"grey","ENSG00000198053.11","ENSG00000198053",140885
"SIRPB1",0,"grey","ENSG00000101307.15","ENSG00000101307",10326
"SIRPB2",3,"brown","ENSG00000196209.12","ENSG00000196209",284759
"SIRPD",0,"grey","ENSG00000125900.12","ENSG00000125900",128646
"SIRPG",13,"salmon","ENSG00000089012.14","ENSG00000089012",55423
"SIRT1",6,"red","ENSG00000096717.11","ENSG00000096717",23411
"SIRT2",0,"grey","ENSG00000068903.19","ENSG00000068903",22933
"SIRT3",0,"grey","ENSG00000142082.14","ENSG00000142082",23410
