"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"A1BG",0,"grey","ENSG00000121410.11","ENSG00000121410",1
"A1BG-AS1",0,"grey","ENSG00000268895.5","ENSG00000268895",503538
"A1CF",0,"grey","ENSG00000148584.14","ENSG00000148584",29974
"A2M",22,"darkgreen","ENSG00000175899.14","ENSG00000175899",2
"A2M-AS1",0,"grey","ENSG00000245105.2","ENSG00000245105",144571
"A2ML1",0,"grey","ENSG00000166535.19","ENSG00000166535",144568
"A2MP1",0,"grey","ENSG00000256069.7","ENSG00000256069",3
"A3GALT2",0,"grey","ENSG00000184389.9","ENSG00000184389",127550
"A4GALT",0,"grey","ENSG00000128274.15","ENSG00000128274",53947
"A4GNT",0,"grey","ENSG00000118017.3","ENSG00000118017",51146
"AAAS",0,"grey","ENSG00000094914.12","ENSG00000094914",8086
"AACS",0,"grey","ENSG00000081760.16","ENSG00000081760",65985
"AACSP1",0,"grey","ENSG00000250420.8","ENSG00000250420",729522
"AADACP1",0,"grey","ENSG00000240602.7","ENSG00000240602",201651
"AADAT",0,"grey","ENSG00000109576.13","ENSG00000109576",51166
"AAED1",0,"grey","ENSG00000158122.11","ENSG00000158122",195827
"AAGAB",0,"grey","ENSG00000103591.12","ENSG00000103591",79719
"AAK1",7,"black","ENSG00000115977.18","ENSG00000115977",22848
"AAMDC",0,"grey","ENSG00000087884.14","ENSG00000087884",28971
"AAMP",0,"grey","ENSG00000127837.9","ENSG00000127837",14
"AANAT",0,"grey","ENSG00000129673.9","ENSG00000129673",15
"AAR2",0,"grey","ENSG00000131043.11","ENSG00000131043",25980
"AARD",0,"grey","ENSG00000205002.3","ENSG00000205002",441376
"AARS",0,"grey","ENSG00000090861.15","ENSG00000090861",16
"AARS2",0,"grey","ENSG00000124608.4","ENSG00000124608",57505
"AARSD1",0,"grey","ENSG00000266967.6","ENSG00000266967",80755
"AASDH",6,"red","ENSG00000157426.13","ENSG00000157426",132949
"AASDHPPT",6,"red","ENSG00000149313.10","ENSG00000149313",60496
"AASS",0,"grey","ENSG00000008311.14","ENSG00000008311",10157
"AATBC",0,"grey","ENSG00000215458.8","ENSG00000215458",284837
"AATF",0,"grey","ENSG00000275700.4","ENSG00000275700",26574
"AATK",0,"grey","ENSG00000181409.11","ENSG00000181409",9625
"AATK-AS1",0,"grey","ENSG00000225180.6","ENSG00000225180",388428
"ABALON",0,"grey","ENSG00000281376.1","ENSG00000281376",103021294
"ABAT",0,"grey","ENSG00000183044.11","ENSG00000183044",18
"ABCA1",0,"grey","ENSG00000165029.15","ENSG00000165029",19
"ABCA10",0,"grey","ENSG00000154263.17","ENSG00000154263",10349
"ABCA11P",0,"grey","ENSG00000251595.7","ENSG00000251595",79963
"ABCA12",0,"grey","ENSG00000144452.14","ENSG00000144452",26154
"ABCA13",0,"grey","ENSG00000179869.14","ENSG00000179869",154664
"ABCA17P",0,"grey","ENSG00000238098.8","ENSG00000238098",650655
"ABCA2",0,"grey","ENSG00000107331.16","ENSG00000107331",20
"ABCA3",0,"grey","ENSG00000167972.13","ENSG00000167972",21
"ABCA4",0,"grey","ENSG00000198691.11","ENSG00000198691",24
"ABCA5",0,"grey","ENSG00000154265.15","ENSG00000154265",23461
"ABCA6",0,"grey","ENSG00000154262.12","ENSG00000154262",23460
"ABCA7",0,"grey","ENSG00000064687.12","ENSG00000064687",10347
"ABCA8",0,"grey","ENSG00000141338.13","ENSG00000141338",10351
"ABCA9",0,"grey","ENSG00000154258.16","ENSG00000154258",10350
"ABCA9-AS1",0,"grey","ENSG00000231749.3","ENSG00000231749",104355297
"ABCB1",0,"grey","ENSG00000085563.14","ENSG00000085563",5243
"ABCB10",6,"red","ENSG00000135776.4","ENSG00000135776",23456
"ABCB4",0,"grey","ENSG00000005471.15","ENSG00000005471",5244
"ABCB5",0,"grey","ENSG00000004846.16","ENSG00000004846",340273
"ABCB6",0,"grey","ENSG00000115657.12","ENSG00000115657",10058
"ABCB7",0,"grey","ENSG00000131269.15","ENSG00000131269",22
"ABCB8",0,"grey","ENSG00000197150.12","ENSG00000197150",11194
"ABCB9",0,"grey","ENSG00000150967.17","ENSG00000150967",23457
"ABCC1",0,"grey","ENSG00000103222.18","ENSG00000103222",4363
"ABCC10",0,"grey","ENSG00000124574.14","ENSG00000124574",89845
"ABCC11",0,"grey","ENSG00000121270.15","ENSG00000121270",85320
"ABCC2",0,"grey","ENSG00000023839.10","ENSG00000023839",1244
"ABCC3",0,"grey","ENSG00000108846.15","ENSG00000108846",8714
"ABCC4",0,"grey","ENSG00000125257.13","ENSG00000125257",10257
"ABCC5",0,"grey","ENSG00000114770.16","ENSG00000114770",10057
"ABCC6",0,"grey","ENSG00000091262.14","ENSG00000091262",368
"ABCC6P1",0,"grey","ENSG00000256340.8","ENSG00000256340",653190
"ABCC6P2",0,"grey","ENSG00000255277.3","ENSG00000255277",730013
"ABCC8",0,"grey","ENSG00000006071.11","ENSG00000006071",6833
"ABCC9",0,"grey","ENSG00000069431.10","ENSG00000069431",10060
"ABCD1",0,"grey","ENSG00000101986.11","ENSG00000101986",215
"ABCD2",0,"grey","ENSG00000173208.3","ENSG00000173208",225
"ABCD3",0,"grey","ENSG00000117528.11","ENSG00000117528",5825
"ABCD4",0,"grey","ENSG00000119688.20","ENSG00000119688",5826
"ABCE1",6,"red","ENSG00000164163.10","ENSG00000164163",6059
"ABCF1",24,"darkgrey","ENSG00000204574.12","ENSG00000204574",23
"ABCF2",6,"red","ENSG00000033050.7","ENSG00000033050",10061
"ABCF3",0,"grey","ENSG00000161204.11","ENSG00000161204",55324
"ABCG1",0,"grey","ENSG00000160179.18","ENSG00000160179",9619
"ABCG2",0,"grey","ENSG00000118777.10","ENSG00000118777",9429
"ABCG4",0,"grey","ENSG00000172350.9","ENSG00000172350",64137
"ABCG5",0,"grey","ENSG00000138075.11","ENSG00000138075",64240
"ABCG8",0,"grey","ENSG00000143921.6","ENSG00000143921",64241
"ABHD1",0,"grey","ENSG00000143994.13","ENSG00000143994",84696
"ABHD10",6,"red","ENSG00000144827.8","ENSG00000144827",55347
"ABHD11",0,"grey","ENSG00000106077.18","ENSG00000106077",83451
"ABHD11-AS1",0,"grey","ENSG00000225969.1","ENSG00000225969",NA
"ABHD12",0,"grey","ENSG00000100997.18","ENSG00000100997",26090
"ABHD12B",0,"grey","ENSG00000131969.14","ENSG00000131969",145447
"ABHD13",17,"grey60","ENSG00000139826.5","ENSG00000139826",84945
"ABHD14A",0,"grey","ENSG00000248487.8","ENSG00000248487",25864
"ABHD14A-ACY1",0,"grey","ENSG00000114786.15","ENSG00000114786",100526760
"ABHD14B",0,"grey","ENSG00000114779.19","ENSG00000114779",84836
"ABHD15",0,"grey","ENSG00000168792.4","ENSG00000168792",116236
"ABHD16A",0,"grey","ENSG00000204427.11","ENSG00000204427",7920
"ABHD17A",0,"grey","ENSG00000129968.15","ENSG00000129968",81926
"ABHD17B",6,"red","ENSG00000107362.13","ENSG00000107362",51104
"ABHD17C",0,"grey","ENSG00000136379.11","ENSG00000136379",58489
"ABHD2",17,"grey60","ENSG00000140526.16","ENSG00000140526",11057
"ABHD3",0,"grey","ENSG00000158201.9","ENSG00000158201",171586
"ABHD4",0,"grey","ENSG00000100439.10","ENSG00000100439",63874
"ABHD5",0,"grey","ENSG00000011198.7","ENSG00000011198",51099
"ABHD6",0,"grey","ENSG00000163686.13","ENSG00000163686",57406
"ABHD8",0,"grey","ENSG00000127220.5","ENSG00000127220",79575
"ABI1",0,"grey","ENSG00000136754.16","ENSG00000136754",10006
"ABI2",7,"black","ENSG00000138443.15","ENSG00000138443",10152
"ABI3",0,"grey","ENSG00000108798.8","ENSG00000108798",51225
"ABI3BP",0,"grey","ENSG00000154175.16","ENSG00000154175",25890
"ABL1",0,"grey","ENSG00000097007.17","ENSG00000097007",25
"ABL2",17,"grey60","ENSG00000143322.19","ENSG00000143322",27
"ABLIM1",0,"grey","ENSG00000099204.18","ENSG00000099204",3983
"ABLIM2",0,"grey","ENSG00000163995.18","ENSG00000163995",84448
"ABLIM3",0,"grey","ENSG00000173210.19","ENSG00000173210",22885
"ABO",0,"grey","ENSG00000175164.13","ENSG00000175164",28
"ABR",0,"grey","ENSG00000159842.14","ENSG00000159842",29
"ABRA",0,"grey","ENSG00000174429.3","ENSG00000174429",137735
"ABRACL",0,"grey","ENSG00000146386.7","ENSG00000146386",58527
"ABT1",0,"grey","ENSG00000146109.4","ENSG00000146109",29777
"ABTB1",0,"grey","ENSG00000114626.17","ENSG00000114626",80325
"ABTB2",0,"grey","ENSG00000166016.5","ENSG00000166016",25841
"ACAA1",0,"grey","ENSG00000060971.17","ENSG00000060971",30
"ACAA2",0,"grey","ENSG00000167315.17","ENSG00000167315",10449
"ACACA",6,"red","ENSG00000278540.4","ENSG00000278540",31
"ACACB",0,"grey","ENSG00000076555.15","ENSG00000076555",32
"ACAD10",0,"grey","ENSG00000111271.14","ENSG00000111271",80724
"ACAD11",0,"grey","ENSG00000240303.7","ENSG00000240303",84129
"ACAD8",0,"grey","ENSG00000151498.11","ENSG00000151498",27034
"ACAD9",0,"grey","ENSG00000177646.17","ENSG00000177646",28976
"ACADL",0,"grey","ENSG00000115361.7","ENSG00000115361",33
"ACADM",18,"lightgreen","ENSG00000117054.13","ENSG00000117054",34
"ACADS",0,"grey","ENSG00000122971.8","ENSG00000122971",35
"ACADSB",7,"black","ENSG00000196177.12","ENSG00000196177",36
"ACADVL",0,"grey","ENSG00000072778.19","ENSG00000072778",37
"ACAN",0,"grey","ENSG00000157766.15","ENSG00000157766",176
"ACAP1",0,"grey","ENSG00000072818.11","ENSG00000072818",9744
"ACAP2",17,"grey60","ENSG00000114331.12","ENSG00000114331",23527
"ACAP3",0,"grey","ENSG00000131584.18","ENSG00000131584",116983
"ACAT1",0,"grey","ENSG00000075239.13","ENSG00000075239",38
"ACAT2",0,"grey","ENSG00000120437.8","ENSG00000120437",39
"ACBD3",6,"red","ENSG00000182827.8","ENSG00000182827",64746
"ACBD4",0,"grey","ENSG00000181513.14","ENSG00000181513",79777
"ACBD5",7,"black","ENSG00000107897.18","ENSG00000107897",91452
"ACBD6",0,"grey","ENSG00000230124.6","ENSG00000230124",84320
"ACBD7",0,"grey","ENSG00000176244.6","ENSG00000176244",414149
"ACCS",0,"grey","ENSG00000110455.13","ENSG00000110455",84680
"ACD",0,"grey","ENSG00000102977.13","ENSG00000102977",65057
"ACE",0,"grey","ENSG00000159640.14","ENSG00000159640",1636
"ACE2",0,"grey","ENSG00000130234.10","ENSG00000130234",59272
"ACER1",0,"grey","ENSG00000167769.4","ENSG00000167769",125981
"ACER2",0,"grey","ENSG00000177076.5","ENSG00000177076",340485
"ACER3",7,"black","ENSG00000078124.11","ENSG00000078124",55331
"ACHE",0,"grey","ENSG00000087085.13","ENSG00000087085",43
"ACIN1",0,"grey","ENSG00000100813.14","ENSG00000100813",22985
"ACKR1",0,"grey","ENSG00000213088.9","ENSG00000213088",2532
"ACKR2",0,"grey","ENSG00000144648.14","ENSG00000144648",1238
"ACKR3",0,"grey","ENSG00000144476.5","ENSG00000144476",57007
"ACKR4",0,"grey","ENSG00000129048.6","ENSG00000129048",51554
"ACLY",0,"grey","ENSG00000131473.16","ENSG00000131473",47
"ACMSD",0,"grey","ENSG00000153086.13","ENSG00000153086",130013
"ACO1",0,"grey","ENSG00000122729.18","ENSG00000122729",48
"ACO2",0,"grey","ENSG00000100412.15","ENSG00000100412",50
"ACOT1",0,"grey","ENSG00000184227.7","ENSG00000184227",641371
"ACOT11",0,"grey","ENSG00000162390.17","ENSG00000162390",26027
"ACOT12",0,"grey","ENSG00000172497.8","ENSG00000172497",134526
"ACOT13",0,"grey","ENSG00000112304.10","ENSG00000112304",55856
"ACOT2",0,"grey","ENSG00000119673.14","ENSG00000119673",10965
"ACOT4",0,"grey","ENSG00000177465.4","ENSG00000177465",122970
"ACOT7",0,"grey","ENSG00000097021.19","ENSG00000097021",11332
"ACOT8",0,"grey","ENSG00000101473.16","ENSG00000101473",10005
"ACOT9",0,"grey","ENSG00000123130.16","ENSG00000123130",23597
"ACOX1",7,"black","ENSG00000161533.11","ENSG00000161533",51
"ACOX2",0,"grey","ENSG00000168306.12","ENSG00000168306",8309
"ACOX3",0,"grey","ENSG00000087008.15","ENSG00000087008",8310
"ACOXL",0,"grey","ENSG00000153093.18","ENSG00000153093",55289
"ACP1",0,"grey","ENSG00000143727.15","ENSG00000143727",52
"ACP2",0,"grey","ENSG00000134575.9","ENSG00000134575",53
"ACP5",0,"grey","ENSG00000102575.10","ENSG00000102575",54
"ACP6",0,"grey","ENSG00000162836.11","ENSG00000162836",51205
"ACPP",0,"grey","ENSG00000014257.15","ENSG00000014257",55
"ACPT",0,"grey","ENSG00000142513.5","ENSG00000142513",93650
"ACR",0,"grey","ENSG00000100312.10","ENSG00000100312",49
"ACRBP",0,"grey","ENSG00000111644.7","ENSG00000111644",84519
"ACRC",0,"grey","ENSG00000147174.11","ENSG00000147174",93953
"ACRV1",0,"grey","ENSG00000134940.13","ENSG00000134940",56
"ACSBG1",0,"grey","ENSG00000103740.9","ENSG00000103740",23205
"ACSBG2",0,"grey","ENSG00000130377.13","ENSG00000130377",81616
"ACSF2",0,"grey","ENSG00000167107.12","ENSG00000167107",80221
"ACSF3",0,"grey","ENSG00000176715.15","ENSG00000176715",197322
"ACSL1",0,"grey","ENSG00000151726.13","ENSG00000151726",2180
"ACSL3",0,"grey","ENSG00000123983.13","ENSG00000123983",2181
"ACSL4",0,"grey","ENSG00000068366.19","ENSG00000068366",2182
"ACSL5",27,"white","ENSG00000197142.10","ENSG00000197142",51703
"ACSL6",0,"grey","ENSG00000164398.12","ENSG00000164398",23305
"ACSM1",0,"grey","ENSG00000166743.9","ENSG00000166743",116285
"ACSM2B",0,"grey","ENSG00000066813.14","ENSG00000066813",348158
"ACSM3",0,"grey","ENSG00000005187.11","ENSG00000005187",6296
"ACSM5",0,"grey","ENSG00000183549.10","ENSG00000183549",54988
"ACSS1",0,"grey","ENSG00000154930.14","ENSG00000154930",84532
"ACSS2",0,"grey","ENSG00000131069.19","ENSG00000131069",55902
"ACSS3",0,"grey","ENSG00000111058.7","ENSG00000111058",79611
"ACTA1",0,"grey","ENSG00000143632.14","ENSG00000143632",58
"ACTA2",0,"grey","ENSG00000107796.12","ENSG00000107796",59
"ACTA2-AS1",0,"grey","ENSG00000180139.11","ENSG00000180139",NA
"ACTB",0,"grey","ENSG00000075624.13","ENSG00000075624",60
"ACTC1",26,"darkorange","ENSG00000159251.6","ENSG00000159251",70
"ACTG1",0,"grey","ENSG00000184009.9","ENSG00000184009",71
"ACTG1P17",0,"grey","ENSG00000259315.1","ENSG00000259315",283693
"ACTG1P20",6,"red","ENSG00000241547.1","ENSG00000241547",NA
"ACTG1P4",0,"grey","ENSG00000236085.1","ENSG00000236085",NA
"ACTG2",0,"grey","ENSG00000163017.13","ENSG00000163017",72
"ACTL10",0,"grey","ENSG00000182584.4","ENSG00000182584",NA
"ACTL6A",0,"grey","ENSG00000136518.16","ENSG00000136518",86
"ACTL6B",0,"grey","ENSG00000077080.9","ENSG00000077080",51412
"ACTL7B",0,"grey","ENSG00000148156.7","ENSG00000148156",10880
"ACTL8",0,"grey","ENSG00000117148.7","ENSG00000117148",81569
"ACTN1",0,"grey","ENSG00000072110.13","ENSG00000072110",87
"ACTN1-AS1",0,"grey","ENSG00000259062.2","ENSG00000259062",161159
"ACTN2",0,"grey","ENSG00000077522.12","ENSG00000077522",88
"ACTN3",0,"grey","ENSG00000248746.5","ENSG00000248746",89
"ACTN4",0,"grey","ENSG00000130402.11","ENSG00000130402",81
"ACTR10",0,"grey","ENSG00000131966.13","ENSG00000131966",55860
"ACTR1A",0,"grey","ENSG00000138107.11","ENSG00000138107",10121
"ACTR1B",0,"grey","ENSG00000115073.7","ENSG00000115073",10120
"ACTR2",17,"grey60","ENSG00000138071.13","ENSG00000138071",10097
"ACTR3",17,"grey60","ENSG00000115091.11","ENSG00000115091",10096
"ACTR3B",0,"grey","ENSG00000133627.17","ENSG00000133627",57180
"ACTR3C",0,"grey","ENSG00000106526.10","ENSG00000106526",653857
"ACTR5",0,"grey","ENSG00000101442.9","ENSG00000101442",79913
"ACTR6",0,"grey","ENSG00000075089.9","ENSG00000075089",64431
"ACTR8",0,"grey","ENSG00000113812.13","ENSG00000113812",93973
"ACTRT3",0,"grey","ENSG00000184378.2","ENSG00000184378",84517
"ACVR1",14,"cyan","ENSG00000115170.13","ENSG00000115170",90
"ACVR1B",0,"grey","ENSG00000135503.12","ENSG00000135503",91
"ACVR1C",0,"grey","ENSG00000123612.15","ENSG00000123612",130399
"ACVR2A",0,"grey","ENSG00000121989.14","ENSG00000121989",92
"ACVR2B",0,"grey","ENSG00000114739.13","ENSG00000114739",93
"ACVR2B-AS1",0,"grey","ENSG00000229589.1","ENSG00000229589",100128640
"ACVRL1",0,"grey","ENSG00000139567.12","ENSG00000139567",94
"ACY1",0,"grey","ENSG00000243989.7","ENSG00000243989",95
"ACY3",0,"grey","ENSG00000132744.7","ENSG00000132744",91703
"ACYP1",0,"grey","ENSG00000119640.8","ENSG00000119640",97
"ACYP2",0,"grey","ENSG00000170634.12","ENSG00000170634",98
"ADA",0,"grey","ENSG00000196839.12","ENSG00000196839",100
"ADAD2",0,"grey","ENSG00000140955.10","ENSG00000140955",161931
"ADAL",0,"grey","ENSG00000168803.14","ENSG00000168803",161823
"ADAM10",7,"black","ENSG00000137845.14","ENSG00000137845",102
"ADAM11",0,"grey","ENSG00000073670.13","ENSG00000073670",4185
"ADAM12",0,"grey","ENSG00000148848.14","ENSG00000148848",8038
"ADAM15",0,"grey","ENSG00000143537.13","ENSG00000143537",8751
"ADAM17",6,"red","ENSG00000151694.12","ENSG00000151694",6868
"ADAM19",0,"grey","ENSG00000135074.15","ENSG00000135074",8728
"ADAM1A",0,"grey","ENSG00000229186.4","ENSG00000229186",NA
"ADAM20",0,"grey","ENSG00000134007.3","ENSG00000134007",8748
"ADAM20P1",0,"grey","ENSG00000259158.2","ENSG00000259158",317760
"ADAM21",0,"grey","ENSG00000139985.6","ENSG00000139985",8747
"ADAM21P1",0,"grey","ENSG00000235812.4","ENSG00000235812",145241
"ADAM22",0,"grey","ENSG00000008277.14","ENSG00000008277",53616
"ADAM23",0,"grey","ENSG00000114948.12","ENSG00000114948",8745
"ADAM28",0,"grey","ENSG00000042980.12","ENSG00000042980",10863
"ADAM29",0,"grey","ENSG00000168594.15","ENSG00000168594",11086
"ADAM32",0,"grey","ENSG00000197140.14","ENSG00000197140",203102
"ADAM33",0,"grey","ENSG00000149451.17","ENSG00000149451",80332
"ADAM8",0,"grey","ENSG00000151651.15","ENSG00000151651",101
"ADAM9",0,"grey","ENSG00000168615.11","ENSG00000168615",8754
"ADAMDEC1",3,"brown","ENSG00000134028.14","ENSG00000134028",27299
"ADAMTS1",0,"grey","ENSG00000154734.14","ENSG00000154734",9510
"ADAMTS10",0,"grey","ENSG00000142303.13","ENSG00000142303",81794
"ADAMTS12",0,"grey","ENSG00000151388.10","ENSG00000151388",81792
"ADAMTS13",0,"grey","ENSG00000160323.18","ENSG00000160323",11093
"ADAMTS14",0,"grey","ENSG00000138316.10","ENSG00000138316",140766
"ADAMTS15",0,"grey","ENSG00000166106.3","ENSG00000166106",170689
"ADAMTS16",0,"grey","ENSG00000145536.15","ENSG00000145536",170690
"ADAMTS17",0,"grey","ENSG00000140470.13","ENSG00000140470",170691
"ADAMTS18",0,"grey","ENSG00000140873.15","ENSG00000140873",170692
"ADAMTS19",0,"grey","ENSG00000145808.8","ENSG00000145808",171019
"ADAMTS2",0,"grey","ENSG00000087116.13","ENSG00000087116",9509
"ADAMTS20",0,"grey","ENSG00000173157.16","ENSG00000173157",80070
"ADAMTS3",0,"grey","ENSG00000156140.8","ENSG00000156140",9508
"ADAMTS4",0,"grey","ENSG00000158859.9","ENSG00000158859",9507
"ADAMTS5",0,"grey","ENSG00000154736.5","ENSG00000154736",11096
"ADAMTS6",0,"grey","ENSG00000049192.14","ENSG00000049192",11174
"ADAMTS7",0,"grey","ENSG00000136378.14","ENSG00000136378",11173
"ADAMTS7P1",0,"grey","ENSG00000274376.4","ENSG00000274376",NA
"ADAMTS8",0,"grey","ENSG00000134917.9","ENSG00000134917",11095
"ADAMTS9",0,"grey","ENSG00000163638.13","ENSG00000163638",56999
"ADAMTS9-AS1",0,"grey","ENSG00000241158.5","ENSG00000241158",101929335
"ADAMTS9-AS2",0,"grey","ENSG00000241684.5","ENSG00000241684",NA
"ADAMTSL1",0,"grey","ENSG00000178031.15","ENSG00000178031",92949
"ADAMTSL2",0,"grey","ENSG00000197859.9","ENSG00000197859",9719
"ADAMTSL3",0,"grey","ENSG00000156218.12","ENSG00000156218",57188
"ADAMTSL4",0,"grey","ENSG00000143382.13","ENSG00000143382",54507
"ADAMTSL4-AS1",0,"grey","ENSG00000203804.4","ENSG00000203804",NA
"ADAMTSL5",0,"grey","ENSG00000185761.10","ENSG00000185761",339366
"ADAP1",0,"grey","ENSG00000105963.13","ENSG00000105963",11033
"ADAP2",3,"brown","ENSG00000184060.10","ENSG00000184060",55803
"ADAR",7,"black","ENSG00000160710.15","ENSG00000160710",103
"ADARB1",0,"grey","ENSG00000197381.15","ENSG00000197381",104
"ADARB2",0,"grey","ENSG00000185736.15","ENSG00000185736",105
"ADAT1",0,"grey","ENSG00000065457.10","ENSG00000065457",23536
"ADAT2",0,"grey","ENSG00000189007.15","ENSG00000189007",134637
"ADAT3",0,"grey","ENSG00000213638.5","ENSG00000213638",113179
"ADCK1",0,"grey","ENSG00000063761.15","ENSG00000063761",57143
"ADCK2",0,"grey","ENSG00000133597.9","ENSG00000133597",90956
"ADCK3",0,"grey","ENSG00000163050.16","ENSG00000163050",56997
"ADCK4",0,"grey","ENSG00000123815.11","ENSG00000123815",79934
"ADCK5",0,"grey","ENSG00000173137.11","ENSG00000173137",203054
"ADCY1",0,"grey","ENSG00000164742.14","ENSG00000164742",107
"ADCY10",0,"grey","ENSG00000143199.17","ENSG00000143199",55811
"ADCY10P1",0,"grey","ENSG00000161912.17","ENSG00000161912",221442
"ADCY2",0,"grey","ENSG00000078295.15","ENSG00000078295",108
"ADCY3",0,"grey","ENSG00000138031.14","ENSG00000138031",109
"ADCY4",0,"grey","ENSG00000129467.13","ENSG00000129467",196883
"ADCY5",0,"grey","ENSG00000173175.14","ENSG00000173175",111
"ADCY6",0,"grey","ENSG00000174233.11","ENSG00000174233",112
"ADCY7",0,"grey","ENSG00000121281.12","ENSG00000121281",113
"ADCY8",0,"grey","ENSG00000155897.9","ENSG00000155897",114
"ADCY9",0,"grey","ENSG00000162104.9","ENSG00000162104",115
"ADCYAP1",0,"grey","ENSG00000141433.12","ENSG00000141433",116
"ADCYAP1R1",0,"grey","ENSG00000078549.14","ENSG00000078549",117
"ADD1",0,"grey","ENSG00000087274.16","ENSG00000087274",118
"ADD2",0,"grey","ENSG00000075340.22","ENSG00000075340",119
"ADD3",6,"red","ENSG00000148700.13","ENSG00000148700",120
"ADD3-AS1",0,"grey","ENSG00000203876.9","ENSG00000203876",100505933
"ADGB",0,"grey","ENSG00000118492.16","ENSG00000118492",79747
"ADGRA1",0,"grey","ENSG00000197177.15","ENSG00000197177",84435
"ADGRA1-AS1",0,"grey","ENSG00000256925.2","ENSG00000256925",NA
"ADGRA2",0,"grey","ENSG00000020181.17","ENSG00000020181",25960
"ADGRA3",0,"grey","ENSG00000152990.13","ENSG00000152990",166647
"ADGRB1",0,"grey","ENSG00000181790.10","ENSG00000181790",575
"ADGRB2",0,"grey","ENSG00000121753.12","ENSG00000121753",576
"ADGRB3",0,"grey","ENSG00000135298.13","ENSG00000135298",577
"ADGRD1",0,"grey","ENSG00000111452.12","ENSG00000111452",283383
"ADGRE1",0,"grey","ENSG00000174837.14","ENSG00000174837",2015
"ADGRE2",0,"grey","ENSG00000127507.17","ENSG00000127507",30817
"ADGRE3",0,"grey","ENSG00000131355.14","ENSG00000131355",84658
"ADGRE4P",0,"grey","ENSG00000268758.5","ENSG00000268758",326342
"ADGRE5",0,"grey","ENSG00000123146.19","ENSG00000123146",976
"ADGRF1",0,"grey","ENSG00000153292.15","ENSG00000153292",266977
"ADGRF3",0,"grey","ENSG00000173567.14","ENSG00000173567",165082
"ADGRF5",22,"darkgreen","ENSG00000069122.18","ENSG00000069122",221395
"ADGRG1",0,"grey","ENSG00000205336.11","ENSG00000205336",9289
"ADGRG2",0,"grey","ENSG00000173698.17","ENSG00000173698",10149
"ADGRG3",0,"grey","ENSG00000182885.16","ENSG00000182885",222487
"ADGRG5",0,"grey","ENSG00000159618.15","ENSG00000159618",221188
"ADGRG6",0,"grey","ENSG00000112414.14","ENSG00000112414",57211
"ADGRL1",0,"grey","ENSG00000072071.16","ENSG00000072071",22859
"ADGRL2",0,"grey","ENSG00000117114.19","ENSG00000117114",23266
"ADGRL3",0,"grey","ENSG00000150471.15","ENSG00000150471",23284
"ADGRL4",22,"darkgreen","ENSG00000162618.12","ENSG00000162618",64123
"ADGRV1",0,"grey","ENSG00000164199.15","ENSG00000164199",84059
"ADH1A",0,"grey","ENSG00000187758.7","ENSG00000187758",124
"ADH1B",0,"grey","ENSG00000196616.12","ENSG00000196616",125
"ADH1C",0,"grey","ENSG00000248144.5","ENSG00000248144",126
"ADH5",0,"grey","ENSG00000197894.10","ENSG00000197894",128
"ADH6",0,"grey","ENSG00000172955.17","ENSG00000172955",130
"ADHFE1",0,"grey","ENSG00000147576.15","ENSG00000147576",137872
"ADI1",0,"grey","ENSG00000182551.13","ENSG00000182551",55256
"ADIPOR1",0,"grey","ENSG00000159346.12","ENSG00000159346",51094
"ADIPOR2",6,"red","ENSG00000006831.9","ENSG00000006831",79602
"ADIRF",0,"grey","ENSG00000148671.13","ENSG00000148671",10974
"ADK",0,"grey","ENSG00000156110.13","ENSG00000156110",132
"ADM",0,"grey","ENSG00000148926.9","ENSG00000148926",133
"ADM2",0,"grey","ENSG00000128165.8","ENSG00000128165",79924
"ADM5",0,"grey","ENSG00000224420.3","ENSG00000224420",199800
"ADNP",6,"red","ENSG00000101126.15","ENSG00000101126",23394
"ADNP-AS1",0,"grey","ENSG00000259456.3","ENSG00000259456",101927631
"ADNP2",6,"red","ENSG00000101544.8","ENSG00000101544",22850
"ADO",0,"grey","ENSG00000181915.4","ENSG00000181915",84890
"ADORA1",0,"grey","ENSG00000163485.15","ENSG00000163485",134
"ADORA2A",0,"grey","ENSG00000128271.19","ENSG00000128271",135
"ADORA2A-AS1",0,"grey","ENSG00000178803.10","ENSG00000178803",646023
"ADORA2B",0,"grey","ENSG00000170425.3","ENSG00000170425",136
"ADORA3",0,"grey","ENSG00000121933.17","ENSG00000121933",57413
"ADPGK",0,"grey","ENSG00000159322.17","ENSG00000159322",83440
"ADPGK-AS1",0,"grey","ENSG00000260898.5","ENSG00000260898",100287559
"ADPRH",0,"grey","ENSG00000144843.11","ENSG00000144843",141
"ADPRHL1",0,"grey","ENSG00000153531.12","ENSG00000153531",113622
"ADPRHL2",0,"grey","ENSG00000116863.10","ENSG00000116863",54936
"ADPRM",0,"grey","ENSG00000170222.11","ENSG00000170222",56985
"ADRA1A",0,"grey","ENSG00000120907.17","ENSG00000120907",148
"ADRA1B",0,"grey","ENSG00000170214.3","ENSG00000170214",147
"ADRA1D",0,"grey","ENSG00000171873.7","ENSG00000171873",146
"ADRA2A",0,"grey","ENSG00000150594.6","ENSG00000150594",150
"ADRA2B",0,"grey","ENSG00000274286.1","ENSG00000274286",151
"ADRA2C",0,"grey","ENSG00000184160.7","ENSG00000184160",152
"ADRB1",0,"grey","ENSG00000043591.5","ENSG00000043591",153
