"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"LIN54",6,"red","ENSG00000189308.10","ENSG00000189308",132660
"LIN7C",6,"red","ENSG00000148943.11","ENSG00000148943",55327
"LIN9",4,"yellow","ENSG00000183814.15","ENSG00000183814",286826
"LINC00630",17,"grey60","ENSG00000223546.6","ENSG00000223546",NA
"LINC00657",17,"grey60","ENSG00000260032.1","ENSG00000260032",647979
"LINC00861",13,"salmon","ENSG00000245164.6","ENSG00000245164",100130231
"LINC00892",13,"salmon","ENSG00000233093.5","ENSG00000233093",100128420
"LINC01094",3,"brown","ENSG00000251442.5","ENSG00000251442",NA
"LINC01272",3,"brown","ENSG00000224397.5","ENSG00000224397",100506115
"LINC01521",6,"red","ENSG00000213888.3","ENSG00000213888",NA
"LINC01560",6,"red","ENSG00000196741.5","ENSG00000196741",NA
"LIPT1",6,"red","ENSG00000144182.16","ENSG00000144182",51601
"LMAN1",7,"black","ENSG00000074695.5","ENSG00000074695",3998
"LMBR1",6,"red","ENSG00000105983.19","ENSG00000105983",64327
"LMBRD2",17,"grey60","ENSG00000164187.6","ENSG00000164187",92255
"LMNB1",4,"yellow","ENSG00000113368.11","ENSG00000113368",4001
"LMNB2",4,"yellow","ENSG00000176619.10","ENSG00000176619",84823
"LMTK2",17,"grey60","ENSG00000164715.5","ENSG00000164715",22853
"LNX2",6,"red","ENSG00000139517.7","ENSG00000139517",222484
"LONP2",7,"black","ENSG00000102910.13","ENSG00000102910",83752
"LPIN2",14,"cyan","ENSG00000101577.9","ENSG00000101577",9663
"LRIF1",6,"red","ENSG00000121931.15","ENSG00000121931",55791
"LRIG2",6,"red","ENSG00000198799.11","ENSG00000198799",9860
"LRP10",14,"cyan","ENSG00000197324.8","ENSG00000197324",26020
"LRP12",7,"black","ENSG00000147650.11","ENSG00000147650",29967
"LRR1",4,"yellow","ENSG00000165501.16","ENSG00000165501",122769
"LRRC25",3,"brown","ENSG00000175489.9","ENSG00000175489",126364
"LRRC37A4P",6,"red","ENSG00000214425.6","ENSG00000214425",NA
"LRRC37BP1",6,"red","ENSG00000250462.8","ENSG00000250462",NA
"LRRC40",18,"lightgreen","ENSG00000066557.5","ENSG00000066557",55631
"LRRC41",7,"black","ENSG00000132128.16","ENSG00000132128",10489
"LRRC57",6,"red","ENSG00000180979.9","ENSG00000180979",255252
"LRRC58",17,"grey60","ENSG00000163428.3","ENSG00000163428",116064
"LSM14A",6,"red","ENSG00000257103.8","ENSG00000257103",26065
"LST1",3,"brown","ENSG00000204482.10","ENSG00000204482",7940
"LTN1",6,"red","ENSG00000198862.13","ENSG00000198862",26046
"LUC7L2",7,"black","ENSG00000269955.2","ENSG00000269955",100996928
"LUZP1",14,"cyan","ENSG00000169641.13","ENSG00000169641",7798
"LYPLA1",6,"red","ENSG00000120992.17","ENSG00000120992",10434
"LYRM2",17,"grey60","ENSG00000083099.10","ENSG00000083099",57226
"LYRM7",6,"red","ENSG00000186687.15","ENSG00000186687",90624
"LYSMD3",17,"grey60","ENSG00000176018.12","ENSG00000176018",116068
"LYZ",3,"brown","ENSG00000090382.6","ENSG00000090382",4069
"MAD2L1",4,"yellow","ENSG00000164109.13","ENSG00000164109",4085
"MAGT1",14,"cyan","ENSG00000102158.19","ENSG00000102158",84061
"MAK16",6,"red","ENSG00000198042.10","ENSG00000198042",84549
"MAML1",17,"grey60","ENSG00000161021.11","ENSG00000161021",9794
"MAN1A2",17,"grey60","ENSG00000198162.12","ENSG00000198162",10905
"MAN2B2",14,"cyan","ENSG00000013288.8","ENSG00000013288",23324
"MANEA",6,"red","ENSG00000172469.14","ENSG00000172469",79694
"MAP2K4",17,"grey60","ENSG00000065559.14","ENSG00000065559",6416
"MAP3K2",17,"grey60","ENSG00000169967.16","ENSG00000169967",10746
"MAP3K3",7,"black","ENSG00000198909.7","ENSG00000198909",4215
"MAP3K7",6,"red","ENSG00000135341.17","ENSG00000135341",6885
"MAP4",14,"cyan","ENSG00000047849.21","ENSG00000047849",4134
"MAP9",6,"red","ENSG00000164114.18","ENSG00000164114",79884
"MAPK14",17,"grey60","ENSG00000112062.10","ENSG00000112062",1432
"MAPK1IP1L",17,"grey60","ENSG00000168175.14","ENSG00000168175",93487
"MAPK6",6,"red","ENSG00000069956.11","ENSG00000069956",5597
"MAPK8",7,"black","ENSG00000107643.15","ENSG00000107643",5599
"MAPRE1",6,"red","ENSG00000101367.8","ENSG00000101367",22919
"MARCH7",6,"red","ENSG00000136536.14","ENSG00000136536",64844
"MARCH8",17,"grey60","ENSG00000165406.15","ENSG00000165406",220972
"MARK2",7,"black","ENSG00000072518.20","ENSG00000072518",2011
"MARS2",6,"red","ENSG00000247626.4","ENSG00000247626",92935
"MASTL",6,"red","ENSG00000120539.14","ENSG00000120539",84930
"MAT2A",6,"red","ENSG00000168906.12","ENSG00000168906",4144
"MATR3",6,"red","ENSG00000015479.17","ENSG00000015479",9782
"MAVS",17,"grey60","ENSG00000088888.17","ENSG00000088888",57506
"MBD4",6,"red","ENSG00000129071.9","ENSG00000129071",8930
"MBD5",7,"black","ENSG00000204406.11","ENSG00000204406",55777
"MBLAC2",6,"red","ENSG00000176055.9","ENSG00000176055",153364
"MBTD1",6,"red","ENSG00000011258.15","ENSG00000011258",54799
"MBTPS2",7,"black","ENSG00000012174.11","ENSG00000012174",51360
"MCFD2",17,"grey60","ENSG00000180398.11","ENSG00000180398",90411
"MCM10",4,"yellow","ENSG00000065328.16","ENSG00000065328",55388
"MCM2",4,"yellow","ENSG00000073111.13","ENSG00000073111",4171
"MCM3",4,"yellow","ENSG00000112118.17","ENSG00000112118",4172
"MCM3AP-AS1",6,"red","ENSG00000215424.9","ENSG00000215424",114044
"MCM4",4,"yellow","ENSG00000104738.16","ENSG00000104738",4173
"MCM6",4,"yellow","ENSG00000076003.4","ENSG00000076003",4175
"MCM7",4,"yellow","ENSG00000166508.17","ENSG00000166508",4176
"MCM8",4,"yellow","ENSG00000125885.13","ENSG00000125885",84515
"MCM9",6,"red","ENSG00000111877.17","ENSG00000111877",254394
"MCMBP",24,"darkgrey","ENSG00000197771.12","ENSG00000197771",79892
"MCPH1",6,"red","ENSG00000147316.12","ENSG00000147316",79648
"MCTS2P",6,"red","ENSG00000101898.5","ENSG00000101898",NA
"MDM4",6,"red","ENSG00000198625.12","ENSG00000198625",4194
"MED1",6,"red","ENSG00000125686.11","ENSG00000125686",5469
"MED12",7,"black","ENSG00000184634.15","ENSG00000184634",9968
"MED13",17,"grey60","ENSG00000108510.9","ENSG00000108510",9969
"MED13L",7,"black","ENSG00000123066.7","ENSG00000123066",23389
"MED14",7,"black","ENSG00000180182.10","ENSG00000180182",9282
"MED20",6,"red","ENSG00000124641.14","ENSG00000124641",9477
"MED21",6,"red","ENSG00000152944.8","ENSG00000152944",9412
"MED22",6,"red","ENSG00000148297.15","ENSG00000148297",6837
"MED23",6,"red","ENSG00000112282.17","ENSG00000112282",9439
"MED28",4,"yellow","ENSG00000118579.11","ENSG00000118579",80306
"MEGF9",17,"grey60","ENSG00000106780.8","ENSG00000106780",1955
